team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_away_or_home,team2_home_away,winner,ground_country,match_date
Pakistan,Australia,149,120,10,10,away,home,Pakistan,Australia,1997-01-07 00:00:00
Pakistan,West Indies,257,258,7,5,away,away,West Indies,Australia,1997-01-10 00:00:00
Australia,West Indies,267,269,7,6,home,away,West Indies,Australia,1997-01-12 00:00:00
West Indies,Pakistan,181,183,10,2,away,away,Pakistan,Australia,1997-01-14 00:00:00
Pakistan,Australia,181,182,9,7,away,home,Australia,Australia,1997-01-16 00:00:00
South Africa,India,270,231,4,10,home,away,South Africa,South Africa,1997-01-23 00:00:00
Zimbabwe,South Africa,211,212,10,5,away,home,South Africa,South Africa,1997-01-25 00:00:00
Zimbabwe,India,236,236,8,10,away,away,Match tied,South Africa,1997-01-27 00:00:00
Zimbabwe,South Africa,226,229,6,5,away,home,South Africa,South Africa,1997-01-29 00:00:00
Zimbabwe,South Africa,256,259,8,6,away,home,South Africa,South Africa,1997-01-31 00:00:00
India,South Africa,179,180,9,4,away,home,South Africa,South Africa,1997-02-02 00:00:00
India,South Africa,232,236,5,4,away,home,South Africa,South Africa,1997-02-04 00:00:00
India,Zimbabwe,216,171,10,7,away,away,Zimbabwe,South Africa,1997-02-07 00:00:00
Zimbabwe,India,240,241,8,4,away,away,India,South Africa,1997-02-09 00:00:00
South Africa,India,278,234,8,10,home,away,South Africa,South Africa,1997-02-13 00:00:00
India,Zimbabwe,168,139,10,2,away,home,Zimbabwe,Zimbabwe,1997-02-15 00:00:00
New Zealand,England,222,226,6,6,home,away,England,New Zealand,1997-02-20 00:00:00
New Zealand,England,253,134,8,4,home,away,England,New Zealand,1997-02-23 00:00:00
New Zealand,England,237,237,10,8,home,away,Match tied,New Zealand,1997-02-26 00:00:00
New Zealand,England,153,144,10,10,home,away,New Zealand,New Zealand,1997-03-02 00:00:00
New Zealand,England,228,200,8,10,home,away,New Zealand,New Zealand,1997-03-04 00:00:00
New Zealand,Sri Lanka,201,202,9,4,home,away,Sri Lanka,New Zealand,1997-03-25 00:00:00
New Zealand,Sri Lanka,201,132,10,10,home,away,New Zealand,New Zealand,1997-03-27 00:00:00
Australia,South Africa,223,227,9,4,away,home,South Africa,South Africa,1997-03-29 00:00:00
South Africa,Australia,221,222,8,3,home,away,Australia,South Africa,1997-03-31 00:00:00
South Africa,Australia,245,199,8,10,home,away,South Africa,South Africa,1997-04-02 00:00:00
Zimbabwe,Sri Lanka,187,188,9,3,away,away,Sri Lanka,United Arab Emirates,1997-04-03 00:00:00
Sri Lanka,Pakistan,243,224,8,9,away,away,Sri Lanka,United Arab Emirates,1997-04-04 00:00:00
Australia,South Africa,211,196,9,10,away,home,Australia,South Africa,1997-04-05 00:00:00
Pakistan,Zimbabwe,187,94,10,10,away,away,Pakistan,United Arab Emirates,1997-04-06 00:00:00
Sri Lanka,Pakistan,251,200,7,10,away,away,Sri Lanka,United Arab Emirates,1997-04-07 00:00:00
Zimbabwe,Sri Lanka,203,153,10,10,away,away,Zimbabwe,United Arab Emirates,1997-04-08 00:00:00
Australia,South Africa,258,250,7,8,away,home,Australia,South Africa,1997-04-08 00:00:00
Pakistan,Zimbabwe,151,119,9,10,away,away,Pakistan,United Arab Emirates,1997-04-09 00:00:00
South Africa,Australia,284,287,7,5,home,away,Australia,South Africa,1997-04-10 00:00:00
Pakistan,Sri Lanka,214,215,10,6,away,away,Sri Lanka,United Arab Emirates,1997-04-11 00:00:00
South Africa,Australia,310,201,6,10,home,away,South Africa,South Africa,1997-04-13 00:00:00
India,West Indies,179,149,10,2,away,home,West Indies,West Indies,1997-04-26 00:00:00
West Indies,India,121,116,10,0,home,away,India,West Indies,1997-04-27 00:00:00
West Indies,India,249,231,9,10,home,away,West Indies,West Indies,1997-04-30 00:00:00
India,West Indies,199,200,7,0,away,home,West Indies,West Indies,1997-05-03 00:00:00
New Zealand,Pakistan,285,263,7,9,away,away,New Zealand,India,1997-05-09 00:00:00
Pakistan,Sri Lanka,289,259,6,10,away,away,Pakistan,India,1997-05-12 00:00:00
New Zealand,India,220,221,9,2,away,home,India,India,1997-05-14 00:00:00
India,Sri Lanka,225,229,7,5,home,away,Sri Lanka,India,1997-05-17 00:00:00
Sri Lanka,New Zealand,214,162,10,10,away,away,Sri Lanka,India,1997-05-20 00:00:00
Pakistan,India,327,292,5,10,away,home,Pakistan,India,1997-05-21 00:00:00
Australia,England,170,175,8,4,away,home,England,England,1997-05-22 00:00:00
Sri Lanka,Pakistan,339,224,4,10,away,away,Sri Lanka,India,1997-05-24 00:00:00
Australia,England,249,253,6,4,away,home,England,England,1997-05-24 00:00:00
Australia,England,269,270,10,4,away,home,England,England,1997-05-25 00:00:00
Sri Lanka,Pakistan,309,224,10,10,away,away,Sri Lanka,India,1997-05-27 00:00:00
West Indies,Sri Lanka,283,248,7,8,home,away,West Indies,West Indies,1997-06-06 00:00:00
Sri Lanka,Pakistan,239,224,10,9,home,away,Sri Lanka,Sri Lanka,1997-07-14 00:00:00
Pakistan,Bangladesh,319,210,5,10,away,away,Pakistan,Sri Lanka,1997-07-16 00:00:00
India,Sri Lanka,227,231,6,4,away,home,Sri Lanka,Sri Lanka,1997-07-18 00:00:00
Sri Lanka,Bangladesh,296,193,4,8,home,away,Sri Lanka,Sri Lanka,1997-07-22 00:00:00
Bangladesh,India,130,132,8,1,away,away,India,Sri Lanka,1997-07-24 00:00:00
India,Sri Lanka,239,240,7,2,away,home,Sri Lanka,Sri Lanka,1997-07-26 00:00:00
