team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_away_or_home,team2_home_away,winner,ground_country,match_date
India,Zimbabwe,306,245,5,8,home,away,India,India,2000-12-05 00:00:00
India,Zimbabwe,283,284,8,9,home,away,Zimbabwe,India,2000-12-08 00:00:00
Zimbabwe,India,165,166,10,1,away,home,India,India,2000-12-11 00:00:00
India,Zimbabwe,301,262,6,10,home,away,India,India,2000-12-14 00:00:00
Sri Lanka,South Africa,221,223,10,6,away,home,South Africa,South Africa,2000-12-15 00:00:00
South Africa,Sri Lanka,302,207,7,6,home,away,South Africa,South Africa,2000-12-17 00:00:00
Zimbabwe,New Zealand,300,210,7,10,away,home,Zimbabwe,New Zealand,2001-01-02 00:00:00
Zimbabwe,New Zealand,236,237,7,2,away,home,New Zealand,New Zealand,2001-01-04 00:00:00
New Zealand,Zimbabwe,273,274,9,9,home,away,Zimbabwe,New Zealand,2001-01-07 00:00:00
Sri Lanka,South Africa,247,250,4,2,away,home,South Africa,South Africa,2001-01-09 00:00:00
Australia,West Indies,267,193,6,7,home,away,Australia,Australia,2001-01-11 00:00:00
South Africa,Sri Lanka,290,191,7,10,home,away,South Africa,South Africa,2001-01-11 00:00:00
Zimbabwe,West Indies,240,241,9,9,away,away,West Indies,Australia,2001-01-13 00:00:00
West Indies,Australia,234,236,8,1,away,home,Australia,Australia,2001-01-14 00:00:00
Sri Lanka,South Africa,206,207,10,5,away,home,South Africa,South Africa,2001-01-14 00:00:00
Australia,West Indies,277,211,4,8,home,away,Australia,Australia,2001-01-17 00:00:00
Sri Lanka,South Africa,214,204,6,10,away,home,Sri Lanka,South Africa,2001-01-17 00:00:00
Zimbabwe,Australia,223,226,9,2,away,home,Australia,Australia,2001-01-21 00:00:00
Zimbabwe,West Indies,138,91,10,10,away,away,Zimbabwe,Australia,2001-01-23 00:00:00
West Indies,Zimbabwe,235,175,6,10,away,away,West Indies,Australia,2001-01-25 00:00:00
West Indies,Australia,123,124,10,0,away,home,Australia,Australia,2001-01-26 00:00:00
Australia,Zimbabwe,291,205,6,10,home,away,Australia,Australia,2001-01-28 00:00:00
Zimbabwe,Australia,279,282,6,4,away,home,Australia,Australia,2001-01-30 00:00:00
Sri Lanka,New Zealand,213,152,8,10,away,home,Sri Lanka,New Zealand,2001-01-31 00:00:00
West Indies,Zimbabwe,178,134,10,10,away,away,West Indies,Australia,2001-02-02 00:00:00
New Zealand,Sri Lanka,205,209,8,7,home,away,Sri Lanka,New Zealand,2001-02-03 00:00:00
Australia,Zimbabwe,302,301,5,6,home,away,Australia,Australia,2001-02-04 00:00:00
New Zealand,Sri Lanka,181,182,10,1,home,away,Sri Lanka,New Zealand,2001-02-06 00:00:00
Australia,West Indies,253,119,9,10,home,away,Australia,Australia,2001-02-07 00:00:00
New Zealand,Sri Lanka,182,155,9,5,home,away,Sri Lanka,New Zealand,2001-02-08 00:00:00
Australia,West Indies,338,299,6,10,home,away,Australia,Australia,2001-02-09 00:00:00
New Zealand,Sri Lanka,282,269,6,10,home,away,New Zealand,New Zealand,2001-02-11 00:00:00
New Zealand,Pakistan,149,150,10,4,home,away,Pakistan,New Zealand,2018-02-17 20:01:00
Pakistan,New Zealand,135,136,10,4,away,home,New Zealand,New Zealand,2001-02-20 00:00:00
Pakistan,New Zealand,243,215,9,10,away,home,Pakistan,New Zealand,2001-02-22 00:00:00
New Zealand,Pakistan,284,146,5,10,home,away,New Zealand,New Zealand,2001-02-25 00:00:00
Pakistan,New Zealand,285,290,10,6,away,home,New Zealand,New Zealand,2001-02-28 00:00:00
England,Sri Lanka,143,144,10,5,away,home,Sri Lanka,Sri Lanka,2001-03-23 00:00:00
Sri Lanka,England,226,160,6,10,home,away,Sri Lanka,Sri Lanka,2001-03-25 00:00:00
India,Australia,315,255,10,10,home,away,India,India,2001-03-25 00:00:00
England,Sri Lanka,165,166,9,0,away,home,Sri Lanka,Sri Lanka,2001-03-27 00:00:00
India,Australia,248,249,9,2,home,away,Australia,India,2001-03-28 00:00:00
India,Australia,299,181,8,10,home,away,India,India,2001-03-31 00:00:00
Australia,India,338,245,4,10,away,home,Australia,India,2001-04-03 00:00:00
India,Australia,265,269,6,6,home,away,Australia,India,2001-04-06 00:00:00
Bangladesh,Zimbabwe,151,155,8,3,away,home,Zimbabwe,Zimbabwe,2001-04-07 00:00:00
Zimbabwe,Bangladesh,230,103,7,10,home,away,Zimbabwe,Zimbabwe,2001-04-08 00:00:00
Pakistan,Sri Lanka,255,239,9,10,away,away,Pakistan,United Arab Emirates,2001-04-08 00:00:00
Sri Lanka,New Zealand,269,163,9,10,away,away,Sri Lanka,United Arab Emirates,2001-04-10 00:00:00
Zimbabwe,Bangladesh,308,272,4,8,home,away,Zimbabwe,Zimbabwe,2001-04-11 00:00:00
New Zealand,Pakistan,266,270,7,2,away,away,Pakistan,United Arab Emirates,2001-04-12 00:00:00
Pakistan,Sri Lanka,278,250,9,8,away,away,Pakistan,United Arab Emirates,2001-04-13 00:00:00
New Zealand,Pakistan,127,131,10,3,away,away,Pakistan,United Arab Emirates,2001-04-15 00:00:00
New Zealand,Sri Lanka,248,169,6,8,away,away,New Zealand,United Arab Emirates,2001-04-17 00:00:00
Sri Lanka,Pakistan,297,220,7,10,away,away,Sri Lanka,United Arab Emirates,2001-04-20 00:00:00
South Africa,West Indies,200,202,10,7,away,home,West Indies,West Indies,2001-04-28 00:00:00
West Indies,South Africa,220,221,8,2,home,away,South Africa,West Indies,2001-05-02 00:00:00
South Africa,West Indies,287,155,4,10,away,away,South Africa,Grenada,2001-05-05 00:00:00
West Indies,South Africa,200,201,10,2,away,away,South Africa,Grenada,2001-05-06 00:00:00
West Indies,South Africa,199,202,10,3,home,away,South Africa,West Indies,2001-05-09 00:00:00
South Africa,West Indies,190,137,10,10,away,home,South Africa,West Indies,2001-05-12 00:00:00
South Africa,West Indies,163,164,7,4,away,home,West Indies,West Indies,2001-05-16 00:00:00
Pakistan,England,273,165,6,10,away,home,Pakistan,England,2001-06-07 00:00:00
Pakistan,Australia,257,258,10,3,away,away,Australia,Wales,2001-06-09 00:00:00
England,Australia,268,272,4,5,home,away,Australia,England,2001-06-10 00:00:00
Pakistan,England,242,240,8,10,away,home,Pakistan,England,2001-06-12 00:00:00
Australia,England,208,86,7,10,away,home,Australia,England,2001-06-14 00:00:00
England,Pakistan,156,153,10,4,home,away,Pakistan awarded the match (opposition conceded),England,2001-06-17 00:00:00
Pakistan,Australia,290,254,9,10,away,away,Pakistan,England,2001-06-19 00:00:00
England,Australia,176,177,10,2,home,away,Australia,England,2001-06-21 00:00:00
West Indies,Zimbabwe,266,239,5,9,away,home,West Indies,Zimbabwe,2001-06-23 00:00:00
Pakistan,Australia,152,156,10,1,away,away,Australia,England,2001-06-23 00:00:00
Zimbabwe,India,133,137,10,1,home,away,India,Zimbabwe,2001-06-24 00:00:00
Zimbabwe,India,234,237,6,6,home,away,India,Zimbabwe,2001-06-27 00:00:00
West Indies,India,169,170,7,4,away,away,India,Zimbabwe,2001-06-30 00:00:00
Zimbabwe,West Indies,255,258,5,5,home,away,West Indies,Zimbabwe,2001-07-01 00:00:00
West Indies,India,229,230,5,4,away,away,India,Zimbabwe,2001-07-04 00:00:00
West Indies,India,290,274,6,8,away,away,West Indies,Zimbabwe,2001-07-07 00:00:00
Sri Lanka,New Zealand,220,204,10,9,home,away,Sri Lanka,Sri Lanka,2001-07-18 00:00:00
New Zealand,India,211,127,8,10,away,away,New Zealand,Sri Lanka,2001-07-20 00:00:00
Sri Lanka,India,221,215,9,7,home,away,Sri Lanka,Sri Lanka,2001-07-22 00:00:00
New Zealand,Sri Lanka,236,240,8,5,away,home,Sri Lanka,Sri Lanka,2001-07-25 00:00:00
New Zealand,India,200,133,10,10,away,away,New Zealand,Sri Lanka,2001-07-26 00:00:00
Sri Lanka,India,183,184,10,3,home,away,India,Sri Lanka,2001-07-28 00:00:00
Sri Lanka,New Zealand,221,115,6,9,home,away,Sri Lanka,Sri Lanka,2001-07-31 00:00:00
India,Sri Lanka,227,181,8,10,away,home,India,Sri Lanka,2001-08-01 00:00:00
New Zealand,India,264,267,7,3,away,away,India,Sri Lanka,2001-08-02 00:00:00
Sri Lanka,India,295,174,5,10,home,away,Sri Lanka,Sri Lanka,2001-08-05 00:00:00
West Indies,Kenya,311,205,4,10,away,home,West Indies,Kenya,2001-08-15 00:00:00
Kenya,West Indies,192,193,10,4,home,away,West Indies,Kenya,2001-08-18 00:00:00
Kenya,West Indies,232,234,7,3,home,away,West Indies,Kenya,2001-08-19 00:00:00
South Africa,Zimbabwe,363,210,3,5,away,home,South Africa,Zimbabwe,2001-09-23 00:00:00
South Africa,Zimbabwe,272,124,7,10,away,home,South Africa,Zimbabwe,2001-09-29 00:00:00
Zimbabwe,South Africa,184,188,6,4,home,away,South Africa,Zimbabwe,2001-09-30 00:00:00
Zimbabwe,England,206,210,10,5,home,away,England,Zimbabwe,2001-10-03 00:00:00
India,South Africa,279,280,5,4,away,home,South Africa,South Africa,2001-10-05 00:00:00
Zimbabwe,England,195,196,10,2,home,away,England,Zimbabwe,2001-10-06 00:00:00
Zimbabwe,England,261,265,8,6,home,away,England,Zimbabwe,2001-10-07 00:00:00
Kenya,South Africa,159,160,7,3,away,home,South Africa,South Africa,2001-10-07 00:00:00
England,Zimbabwe,280,210,9,10,away,home,England,Zimbabwe,2001-10-10 00:00:00
India,South Africa,233,192,10,10,away,home,India,South Africa,2001-10-10 00:00:00
Kenya,India,90,91,10,0,away,away,India,South Africa,2001-10-12 00:00:00
Zimbabwe,England,228,229,10,3,home,away,England,Zimbabwe,2001-10-13 00:00:00
Kenya,South Africa,229,230,7,1,away,home,South Africa,South Africa,2001-10-14 00:00:00
Kenya,India,246,176,6,10,away,away,Kenya,South Africa,2001-10-17 00:00:00
South Africa,India,282,236,4,10,home,away,South Africa,South Africa,2001-10-19 00:00:00
South Africa,Kenya,354,146,3,10,home,away,South Africa,South Africa,2001-10-22 00:00:00
India,Kenya,351,165,3,5,away,away,India,South Africa,2001-10-24 00:00:00
Sri Lanka,Zimbabwe,256,193,6,10,away,away,Sri Lanka,United Arab Emirates,2001-10-26 00:00:00
India,South Africa,183,187,10,4,away,home,South Africa,South Africa,2001-10-26 00:00:00
Pakistan,Sri Lanka,176,177,10,3,away,away,Sri Lanka,United Arab Emirates,2001-10-27 00:00:00
Pakistan,Zimbabwe,279,173,6,10,away,away,Pakistan,United Arab Emirates,2001-10-28 00:00:00
Sri Lanka,Zimbabwe,250,171,10,8,away,away,Sri Lanka,United Arab Emirates,2001-10-30 00:00:00
Pakistan,Zimbabwe,261,232,9,10,away,away,Pakistan,United Arab Emirates,2001-10-31 00:00:00
Sri Lanka,Pakistan,272,273,9,3,away,away,Pakistan,United Arab Emirates,2001-11-02 00:00:00
Sri Lanka,Pakistan,173,177,10,5,away,away,Pakistan,United Arab Emirates,2001-11-04 00:00:00
Bangladesh,Zimbabwe,156,161,10,5,home,away,Zimbabwe,Bangladesh,2001-11-23 00:00:00
Zimbabwe,Bangladesh,309,267,6,9,away,home,Zimbabwe,Bangladesh,2001-11-25 00:00:00
Bangladesh,Zimbabwe,215,219,10,3,home,away,Zimbabwe,Bangladesh,2001-11-26 00:00:00
Zimbabwe,Sri Lanka,38,40,10,1,away,home,Sri Lanka,Sri Lanka,2001-12-08 00:00:00
West Indies,Zimbabwe,173,175,10,6,away,away,Zimbabwe,Sri Lanka,2001-12-09 00:00:00
West Indies,Sri Lanka,250,201,8,10,away,home,West Indies,Sri Lanka,2001-12-11 00:00:00
Sri Lanka,Zimbabwe,272,213,7,10,home,away,Sri Lanka,Sri Lanka,2001-12-12 00:00:00
West Indies,Sri Lanka,235,239,10,2,away,home,Sri Lanka,Sri Lanka,2001-12-15 00:00:00
Zimbabwe,West Indies,154,155,10,2,away,away,West Indies,Sri Lanka,2001-12-16 00:00:00
Sri Lanka,West Indies,253,212,8,7,home,away,Sri Lanka,Sri Lanka,2001-12-19 00:00:00
New Zealand,Australia,199,176,8,10,away,home,New Zealand,Australia,2002-01-11 00:00:00
Australia,South Africa,198,199,10,6,home,away,South Africa,Australia,2002-01-13 00:00:00
South Africa,New Zealand,257,231,7,9,away,away,South Africa,Australia,2002-01-15 00:00:00
New Zealand,Australia,235,212,9,10,away,home,New Zealand,Australia,2002-01-17 00:00:00
South Africa,New Zealand,241,244,10,6,away,away,New Zealand,Australia,2002-01-19 00:00:00
India,England,281,259,8,10,home,away,India,India,2002-01-19 00:00:00
Australia,South Africa,241,214,4,10,home,away,Australia,Australia,2002-01-20 00:00:00
Pakistan,Bangladesh,202,153,10,7,away,home,Pakistan,Bangladesh,2002-01-22 00:00:00
South Africa,Australia,106,107,10,2,away,home,Australia,Australia,2002-01-22 00:00:00
England,India,250,234,7,10,away,home,England,India,2002-01-22 00:00:00
Pakistan,Bangladesh,281,209,5,8,away,home,Pakistan,Bangladesh,2002-01-24 00:00:00
Bangladesh,Pakistan,220,221,10,2,home,away,Pakistan,Bangladesh,2002-01-25 00:00:00
England,India,217,221,10,6,away,home,India,India,2002-01-25 00:00:00
New Zealand,Australia,242,165,5,10,away,home,New Zealand,Australia,2002-01-26 00:00:00
South Africa,New Zealand,253,160,5,10,away,away,South Africa,Australia,2002-01-27 00:00:00
England,India,218,219,7,2,away,home,India,India,2002-01-28 00:00:00
New Zealand,Australia,245,248,8,8,away,home,Australia,Australia,2002-01-29 00:00:00
England,India,271,269,5,8,away,home,England,India,2002-01-31 00:00:00
South Africa,New Zealand,270,203,5,8,away,away,South Africa,Australia,2002-02-01 00:00:00
Australia,South Africa,283,250,7,5,home,away,Australia,Australia,2002-02-03 00:00:00
England,India,255,250,10,10,away,home,England,India,2002-02-03 00:00:00
New Zealand,South Africa,190,191,10,2,away,away,South Africa,Australia,2002-02-06 00:00:00
New Zealand,South Africa,175,173,10,4,away,away,South Africa,Australia,2002-02-08 00:00:00
England,New Zealand,196,198,10,6,away,home,New Zealand,New Zealand,2002-02-13 00:00:00
West Indies,Pakistan,190,193,10,6,away,away,Pakistan,United Arab Emirates,2002-02-14 00:00:00
Pakistan,West Indies,232,181,10,10,away,away,Pakistan,United Arab Emirates,2002-02-15 00:00:00
New Zealand,England,244,89,8,10,home,away,New Zealand,New Zealand,2002-02-16 00:00:00
West Indies,Pakistan,260,150,5,10,away,away,West Indies,United Arab Emirates,2002-02-17 00:00:00
England,New Zealand,244,201,5,10,away,home,England,New Zealand,2002-02-20 00:00:00
England,New Zealand,193,189,6,10,away,home,England,New Zealand,2002-02-23 00:00:00
England,New Zealand,218,223,8,5,away,home,New Zealand,New Zealand,2002-02-26 00:00:00
India,Zimbabwe,274,277,6,9,home,away,Zimbabwe,India,2002-03-07 00:00:00
India,Zimbabwe,319,255,6,10,home,away,India,India,2002-03-10 00:00:00
India,Zimbabwe,191,197,10,4,home,away,Zimbabwe,India,2002-03-13 00:00:00
Zimbabwe,India,240,244,8,5,away,home,India,India,2002-03-16 00:00:00
India,Zimbabwe,333,232,6,10,home,away,India,India,2002-03-19 00:00:00
Australia,South Africa,223,204,8,10,away,home,Australia,South Africa,2002-03-22 00:00:00
Australia,South Africa,226,181,8,10,away,home,Australia,South Africa,2002-03-24 00:00:00
South Africa,Australia,259,259,7,9,home,away,Match tied,South Africa,2002-03-27 00:00:00
Australia,South Africa,290,253,6,10,away,home,Australia,South Africa,2002-03-30 00:00:00
South Africa,Australia,267,271,6,2,home,away,Australia,South Africa,2002-04-03 00:00:00
South Africa,Australia,326,330,3,7,home,away,Australia,South Africa,2002-04-06 00:00:00
Sri Lanka,Pakistan,242,201,9,10,away,away,Sri Lanka,United Arab Emirates,2002-04-08 00:00:00
New Zealand,Sri Lanka,218,207,8,10,away,away,New Zealand,United Arab Emirates,2002-04-09 00:00:00
South Africa,Australia,249,185,7,10,home,away,South Africa,South Africa,2002-04-09 00:00:00
Pakistan,New Zealand,288,237,6,8,away,away,Pakistan,United Arab Emirates,2002-04-11 00:00:00
Sri Lanka,Pakistan,239,230,6,5,away,away,Sri Lanka,United Arab Emirates,2002-04-12 00:00:00
Sri Lanka,New Zealand,243,197,9,9,away,away,Sri Lanka,United Arab Emirates,2002-04-14 00:00:00
New Zealand,Pakistan,213,217,9,2,away,away,Pakistan,United Arab Emirates,2002-04-15 00:00:00
Pakistan,Sri Lanka,295,78,6,10,away,away,Pakistan,United Arab Emirates,2002-04-17 00:00:00
Pakistan,New Zealand,275,122,6,10,home,away,Pakistan,Pakistan,2002-04-21 00:00:00
New Zealand,Pakistan,277,278,5,7,away,home,Pakistan,Pakistan,2002-04-24 00:00:00
Pakistan,New Zealand,278,212,5,10,home,away,Pakistan,Pakistan,2002-04-27 00:00:00
West Indies,India,186,187,10,3,home,away,India,West Indies,2002-05-29 00:00:00
India,West Indies,123,124,10,3,away,home,West Indies,West Indies,2002-06-01 00:00:00
India,West Indies,260,191,10,10,away,home,India,West Indies,2002-06-02 00:00:00
New Zealand,West Indies,248,250,7,4,away,home,West Indies,West Indies,2002-06-08 00:00:00
New Zealand,West Indies,210,211,7,3,away,home,West Indies,West Indies,2002-06-09 00:00:00
Pakistan,Australia,176,177,8,3,away,home,Australia,Australia,2002-06-12 00:00:00
New Zealand,West Indies,212,202,5,9,away,home,New Zealand,West Indies,2002-06-12 00:00:00
Australia,Pakistan,167,168,10,8,home,away,Pakistan,Australia,2002-06-15 00:00:00
New Zealand,West Indies,291,292,8,6,away,home,West Indies,West Indies,2002-06-16 00:00:00
Pakistan,Australia,256,165,7,10,away,home,Pakistan,Australia,2002-06-19 00:00:00
England,Sri Lanka,293,249,6,9,home,away,England,England,2002-06-27 00:00:00
England,India,271,272,7,4,home,away,India,England,2002-06-29 00:00:00
Sri Lanka,India,202,203,8,6,away,away,India,England,2002-06-30 00:00:00
Sri Lanka,England,240,241,7,7,away,home,England,England,2002-07-02 00:00:00
Sri Lanka,India,187,188,10,6,away,away,India,England,2002-07-06 00:00:00
Sri Lanka,England,229,206,10,10,away,home,Sri Lanka,England,2002-07-07 00:00:00
England,India,229,165,8,10,home,away,England,England,2002-07-09 00:00:00
India,Sri Lanka,304,241,10,10,away,away,India,England,2002-07-11 00:00:00
England,India,325,326,5,8,home,away,India,England,2002-07-13 00:00:00
Bangladesh,Sri Lanka,226,228,8,5,away,home,Sri Lanka,Sri Lanka,2002-08-04 00:00:00
Bangladesh,Sri Lanka,76,77,10,2,away,home,Sri Lanka,Sri Lanka,2002-08-05 00:00:00
Sri Lanka,Bangladesh,258,200,6,10,home,away,Sri Lanka,Sri Lanka,2002-08-07 00:00:00
South Africa,Pakistan,283,229,9,10,away,away,South Africa,Morocco,2002-08-12 00:00:00
Pakistan,Sri Lanka,279,251,5,8,away,away,Pakistan,Morocco,2002-08-14 00:00:00
Sri Lanka,South Africa,267,174,7,10,away,away,Sri Lanka,Morocco,2002-08-15 00:00:00
Sri Lanka,Pakistan,242,203,10,10,away,away,Sri Lanka,Morocco,2002-08-17 00:00:00
South Africa,Pakistan,196,188,8,10,away,away,South Africa,Morocco,2002-08-18 00:00:00
South Africa,Sri Lanka,220,221,6,4,away,away,Sri Lanka,Morocco,2002-08-19 00:00:00
Sri Lanka,South Africa,235,208,7,10,away,away,Sri Lanka,Morocco,2002-08-21 00:00:00
Kenya,Pakistan,133,134,10,6,home,away,Pakistan,Kenya,2002-08-29 00:00:00
Australia,Pakistan,332,108,5,10,away,away,Australia,Kenya,2002-08-30 00:00:00
Kenya,Pakistan,179,181,10,3,home,away,Pakistan,Kenya,2002-09-01 00:00:00
Kenya,Australia,84,85,10,2,home,away,Australia,Kenya,2002-09-02 00:00:00
Pakistan,Australia,117,121,10,1,away,away,Australia,Kenya,2002-09-04 00:00:00
Kenya,Australia,204,205,9,5,home,away,Australia,Kenya,2002-09-05 00:00:00
Pakistan,Sri Lanka,200,201,10,2,away,home,Sri Lanka,Sri Lanka,2002-09-12 00:00:00
West Indies,South Africa,238,242,8,8,away,away,South Africa,Sri Lanka,2002-09-13 00:00:00
India,Zimbabwe,288,274,6,8,away,away,India,Sri Lanka,2002-09-14 00:00:00
Australia,New Zealand,296,132,7,10,away,away,Australia,Sri Lanka,2002-09-15 00:00:00
Sri Lanka,Netherlands,292,86,6,10,home,away,Sri Lanka,Sri Lanka,2002-09-16 00:00:00
West Indies,Kenya,261,232,6,10,away,away,West Indies,Sri Lanka,2002-09-17 00:00:00
England,Zimbabwe,298,190,8,9,away,away,England,Sri Lanka,2002-09-18 00:00:00
Bangladesh,Australia,129,133,10,1,away,away,Australia,Sri Lanka,2002-09-19 00:00:00
South Africa,Kenya,316,140,5,10,away,away,South Africa,Sri Lanka,2002-09-20 00:00:00
Netherlands,Pakistan,136,142,10,1,away,away,Pakistan,Sri Lanka,2002-09-21 00:00:00
England,India,269,271,7,2,away,away,India,Sri Lanka,2002-09-22 00:00:00
New Zealand,Bangladesh,244,77,9,10,away,away,New Zealand,Sri Lanka,2002-09-23 00:00:00
India,South Africa,261,251,9,6,away,away,India,Sri Lanka,2002-09-25 00:00:00
Australia,Sri Lanka,162,163,10,3,away,home,Sri Lanka,Sri Lanka,2002-09-27 00:00:00
South Africa,Bangladesh,301,133,8,10,home,away,South Africa,South Africa,2002-10-03 00:00:00
Bangladesh,South Africa,154,155,9,0,away,home,South Africa,South Africa,2002-10-06 00:00:00
Bangladesh,South Africa,151,152,10,3,away,home,South Africa,South Africa,2002-10-09 00:00:00
India,West Indies,283,285,6,6,home,away,West Indies,India,2002-11-06 00:00:00
India,West Indies,279,280,9,3,home,away,West Indies,India,2002-11-09 00:00:00
West Indies,India,300,200,5,1,away,home,India,India,2002-11-12 00:00:00
West Indies,India,324,325,4,5,away,home,India,India,2002-11-15 00:00:00
India,West Indies,290,291,8,5,home,away,West Indies,India,2002-11-18 00:00:00
West Indies,India,201,202,10,7,away,home,India,India,2002-11-21 00:00:00
Pakistan,Zimbabwe,302,295,4,9,away,home,Pakistan,Zimbabwe,2002-11-23 00:00:00
West Indies,India,315,180,6,10,away,home,West Indies,India,2002-11-24 00:00:00
Pakistan,Zimbabwe,344,140,5,6,away,home,Pakistan,Zimbabwe,2002-11-24 00:00:00
Pakistan,Zimbabwe,323,275,3,7,away,home,Pakistan,Zimbabwe,2002-11-27 00:00:00
Sri Lanka,South Africa,128,129,10,4,away,home,South Africa,South Africa,2002-11-27 00:00:00
South Africa,Sri Lanka,317,140,6,10,home,away,South Africa,South Africa,2002-11-29 00:00:00
Zimbabwe,Pakistan,210,211,10,2,home,away,Pakistan,Zimbabwe,2002-11-30 00:00:00
Pakistan,Zimbabwe,300,230,7,10,away,home,Pakistan,Zimbabwe,2002-12-01 00:00:00
South Africa,Sri Lanka,253,258,7,3,home,away,Sri Lanka,South Africa,2002-12-01 00:00:00
West Indies,Bangladesh,266,182,4,10,away,home,West Indies,Bangladesh,2002-12-02 00:00:00
West Indies,Bangladesh,281,195,5,9,away,home,West Indies,Bangladesh,2002-12-03 00:00:00
Sri Lanka,South Africa,184,190,10,2,away,home,South Africa,South Africa,2002-12-04 00:00:00
Sri Lanka,South Africa,228,229,8,4,away,home,South Africa,South Africa,2002-12-06 00:00:00
South Africa,Pakistan,272,140,7,10,home,away,South Africa,South Africa,2002-12-08 00:00:00
Zimbabwe,Kenya,273,181,4,6,home,away,Zimbabwe,Zimbabwe,2002-12-11 00:00:00
Pakistan,South Africa,335,153,6,10,away,home,Pakistan,South Africa,2002-12-11 00:00:00
England,Australia,251,252,8,3,away,home,Australia,Australia,2002-12-13 00:00:00
South Africa,Pakistan,182,120,10,10,home,away,South Africa,South Africa,2002-12-13 00:00:00
Australia,England,318,229,6,10,home,away,Australia,Australia,2002-12-15 00:00:00
Kenya,Zimbabwe,133,136,10,1,away,home,Zimbabwe,Zimbabwe,2002-12-15 00:00:00
Pakistan,South Africa,213,214,10,1,away,home,South Africa,South Africa,2002-12-16 00:00:00
England,Sri Lanka,292,249,10,6,away,away,England,Australia,2002-12-17 00:00:00
South Africa,Pakistan,265,231,8,10,home,away,South Africa,South Africa,2002-12-18 00:00:00
England,Sri Lanka,258,163,9,10,away,away,England,Australia,2002-12-20 00:00:00
Australia,Sri Lanka,305,163,5,10,home,away,Australia,Australia,2002-12-22 00:00:00
India,New Zealand,108,109,10,7,away,home,New Zealand,New Zealand,2002-12-26 00:00:00
New Zealand,India,254,219,9,10,home,away,New Zealand,New Zealand,2002-12-29 00:00:00
India,New Zealand,108,109,10,5,away,home,New Zealand,New Zealand,2003-01-01 00:00:00
India,New Zealand,122,123,10,3,away,home,New Zealand,New Zealand,2003-01-04 00:00:00
New Zealand,India,168,169,10,8,home,away,India,New Zealand,2003-01-08 00:00:00
Sri Lanka,Australia,343,264,5,10,away,home,Sri Lanka,Australia,2003-01-09 00:00:00
Australia,England,271,264,4,7,home,away,Australia,Australia,2003-01-11 00:00:00
New Zealand,India,199,200,9,9,home,away,India,New Zealand,2003-01-11 00:00:00
Sri Lanka,England,284,253,7,10,away,away,Sri Lanka,Australia,2003-01-13 00:00:00
India,New Zealand,122,125,10,4,away,home,New Zealand,New Zealand,2003-01-14 00:00:00
Sri Lanka,Australia,211,214,9,6,away,home,Australia,Australia,2003-01-15 00:00:00
England,Sri Lanka,279,260,7,10,away,away,England,Australia,2003-01-17 00:00:00
England,Australia,152,153,10,6,away,home,Australia,Australia,2003-01-19 00:00:00
Sri Lanka,Australia,214,215,8,1,away,home,Australia,Australia,2003-01-21 00:00:00
England,Australia,117,118,10,0,away,home,Australia,Australia,2003-01-23 00:00:00
Australia,England,229,224,7,10,home,away,Australia,Australia,2003-01-25 00:00:00
West Indies,South Africa,278,275,5,9,away,home,West Indies,South Africa,2003-02-09 00:00:00
Zimbabwe,Namibia,340,104,2,5,home,away,Zimbabwe,Zimbabwe,2003-02-10 00:00:00
Sri Lanka,New Zealand,272,225,7,10,away,away,Sri Lanka,South Africa,2003-02-10 00:00:00
Australia,Pakistan,310,228,8,10,away,away,Australia,South Africa,2003-02-11 00:00:00
Canada,Bangladesh,180,120,10,10,away,away,Canada,South Africa,2003-02-11 00:00:00
Kenya,South Africa,140,142,10,0,away,home,South Africa,South Africa,2003-02-12 00:00:00
India,Netherlands,204,136,10,10,away,away,India,South Africa,2003-02-12 00:00:00
New Zealand,West Indies,241,221,7,10,away,away,New Zealand,South Africa,2003-02-13 00:00:00
Bangladesh,Sri Lanka,124,126,10,0,away,away,Sri Lanka,South Africa,2003-02-14 00:00:00
India,Australia,125,128,10,1,away,away,Australia,South Africa,2003-02-15 00:00:00
Canada,Kenya,197,198,10,6,away,away,Kenya,South Africa,2003-02-15 00:00:00
Netherlands,England,142,144,9,4,away,away,England,South Africa,2003-02-16 00:00:00
Pakistan,Namibia,255,84,9,10,away,away,Pakistan,South Africa,2003-02-16 00:00:00
South Africa,New Zealand,306,229,6,1,home,away,New Zealand,South Africa,2003-02-16 00:00:00
India,Zimbabwe,255,172,7,10,away,home,India,Zimbabwe,2003-02-19 00:00:00
Canada,Sri Lanka,36,37,10,1,away,away,Sri Lanka,South Africa,2003-02-19 00:00:00
England,Namibia,272,217,10,9,away,away,England,South Africa,2003-02-19 00:00:00
Australia,Netherlands,170,122,2,10,away,away,Australia,South Africa,2003-02-20 00:00:00
Bangladesh,South Africa,108,109,10,0,away,home,South Africa,South Africa,2003-02-22 00:00:00
England,Pakistan,246,134,8,10,away,away,England,South Africa,2003-02-22 00:00:00
Canada,West Indies,202,206,10,3,away,away,West Indies,South Africa,2003-02-23 00:00:00
India,Namibia,311,130,2,10,away,away,India,South Africa,2003-02-23 00:00:00
Kenya,Sri Lanka,210,157,9,10,home,away,Kenya,Kenya,2003-02-24 00:00:00
Zimbabwe,Australia,246,248,9,3,home,away,Australia,Zimbabwe,2003-02-24 00:00:00
